Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	positive regulation of ion transport (GO:0043270)	1/50	0.1177765260040411	0.2401616986778055	0	0	8.28862973760933	17.7290996615035	STIM2
GO_Biological_Process_2021	regulation of substrate adhesion-dependent cell spreading (GO:1900024)	1/51	0.1199876089220907	0.2415201226800882	0	0	8.122448979591837	17.22257115519733	CRK
GO_Biological_Process_2021	positive regulation of fat cell differentiation (GO:0045600)	1/51	0.1199876089220907	0.2415201226800882	0	0	8.122448979591837	17.22257115519733	ZFP36L1
GO_Biological_Process_2021	blood circulation (GO:0008015)	1/51	0.1199876089220907	0.2415201226800882	0	0	8.122448979591837	17.22257115519733	ACTC1
GO_Biological_Process_2021	negative regulation of BMP signaling pathway (GO:0030514)	1/52	0.1221932608707862	0.2428332175779608	0	0	7.962785114045618	16.738979733033663	LEMD3
GO_Biological_Process_2021	ameboidal-type cell migration (GO:0001667)	1/52	0.1221932608707862	0.2428332175779608	0	0	7.962785114045618	16.738979733033663	ITGA4
GO_Biological_Process_2021	response to peptide hormone (GO:0043434)	1/52	0.1221932608707862	0.2428332175779608	0	0	7.962785114045618	16.738979733033663	ZFP36L1
GO_Biological_Process_2021	heart morphogenesis (GO:0003007)	1/53	0.1243934949128716	0.2451283576224236	0	0	7.809262166405023	16.276887238960814	ACTC1
GO_Biological_Process_2021	cardiac muscle tissue development (GO:0048738)	1/53	0.1243934949128716	0.2451283576224236	0	0	7.809262166405023	16.276887238960814	ACTC1
GO_Biological_Process_2021	negative regulation of viral genome replication (GO:0045071)	1/54	0.1265883240687765	0.248409723800235	0	0	7.661532537543319	15.834970375184442	IFITM2
GO_Biological_Process_2021	positive regulation of response to DNA damage stimulus (GO:2001022)	1/55	0.1287777613922166	0.2516532087206233	0	0	7.519274376417234	15.412009607623004	NPAS2
GO_Biological_Process_2021	positive regulation of establishment of protein localization to mitochondrion (GO:1903749)	1/56	0.1309618198144747	0.2538061714586307	0	0	7.382189239332097	15.00687933540933	RHOU
GO_Biological_Process_2021	Rho protein signal transduction (GO:0007266)	1/56	0.1309618198144747	0.2538061714586307	0	0	7.382189239332097	15.00687933540933	RHOU
GO_Biological_Process_2021	regulation of bone mineralization (GO:0030500)	1/57	0.1331405122852093	0.2569319694978644	0	0	7.25	14.618539131965724	FBN2
GO_Biological_Process_2021	eye development (GO:0001654)	1/58	0.1353138517398134	0.2569319694978644	0	0	7.122448979591836	14.246025949065045	FBN2
GO_Biological_Process_2021	regulation of calcium ion transport (GO:0051924)	1/58	0.1353138517398134	0.2569319694978644	0	0	7.122448979591836	14.246025949065045	STIM2
GO_Biological_Process_2021	mitochondrial respiratory chain complex I assembly (GO:0032981)	1/58	0.1353138517398134	0.2569319694978644	0	0	7.122448979591836	14.246025949065045	NDUFS5
GO_Biological_Process_2021	NADH dehydrogenase complex assembly (GO:0010257)	1/58	0.1353138517398134	0.2569319694978644	0	0	7.122448979591836	14.246025949065045	NDUFS5
GO_Biological_Process_2021	positive regulation of cell differentiation (GO:0045597)	2/258	0.1359834100026853	0.2571621745615298	0	0	3.205403645833333	6.395493110208526	FBN2;ZFP36L1
GO_Biological_Process_2021	response to reactive oxygen species (GO:0000302)	1/59	0.1374818510452552	0.2589517595992959	0	0	6.999296270232231	13.8884471557023	HP
GO_Biological_Process_2021	response to organic cyclic compound (GO:0014070)	1/60	0.1396445230534406	0.2619731252482546	0	0	6.88031822898651	13.544974303558986	TIPARP
GO_Biological_Process_2021	B cell differentiation (GO:0030183)	1/61	0.1418018805927374	0.2639090555475946	0	0	6.76530612244898	13.214837540593155	ITGA4
GO_Biological_Process_2021	response to light stimulus (GO:0009416)	1/61	0.1418018805927374	0.2639090555475946	0	0	6.76530612244898	13.214837540593155	OPN1SW
GO_Biological_Process_2021	stress-activated MAPK cascade (GO:0051403)	1/62	0.1439539364695556	0.2645607332101227	0	0	6.654064904650385	12.897320592663672	ZFP36L1
GO_Biological_Process_2021	central nervous system development (GO:0007417)	2/268	0.1445246328363994	0.2645607332101227	0	0	3.083333333333333	5.964108059214085	CXCR4;NPAS2
