Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	cell projection assembly (GO:0030031)	1/22	5.360720e-02	2.076224e-01	0	0	1.936735e+01	5.667025e+01	RHOU
GO_Biological_Process_2021	cellular response to osmotic stress (GO:0071470)	1/22	5.360720e-02	2.076224e-01	0	0	1.936735e+01	5.667025e+01	ZFP36L1
GO_Biological_Process_2021	response to cytokine (GO:0034097)	2/150	5.416366e-02	2.076224e-01	0	0	5.574887e+00	1.625495e+01	IFITM2;CXCR4
GO_Biological_Process_2021	cellular response to organic cyclic compound (GO:0071407)	2/150	5.416366e-02	2.076224e-01	0	0	5.574887e+00	1.625495e+01	TIPARP;ZFP36L1
GO_Biological_Process_2021	ERK1 and ERK2 cascade (GO:0070371)	1/23	5.597578e-02	2.076224e-01	0	0	1.848609e+01	5.329236e+01	ZFP36L1
GO_Biological_Process_2021	positive regulation of epithelial cell apoptotic process (GO:1904037)	1/23	5.597578e-02	2.076224e-01	0	0	1.848609e+01	5.329236e+01	ITGA4
GO_Biological_Process_2021	response to copper ion (GO:0046688)	1/23	5.597578e-02	2.076224e-01	0	0	1.848609e+01	5.329236e+01	MT1F
GO_Biological_Process_2021	supramolecular fiber organization (GO:0097435)	3/351	5.737762e-02	2.076224e-01	0	0	3.595378e+00	1.027595e+01	ACTC1;P4HA1;STMN4
GO_Biological_Process_2021	positive regulation of cellular response to transforming growth factor beta stimulus (GO:1903846)	1/24	5.833855e-02	2.076224e-01	0	0	1.768146e+01	5.024172e+01	RNF111
GO_Biological_Process_2021	cardiac muscle cell development (GO:0055013)	1/24	5.833855e-02	2.076224e-01	0	0	1.768146e+01	5.024172e+01	ACTC1
GO_Biological_Process_2021	positive regulation of p38MAPK cascade (GO:1900745)	1/24	5.833855e-02	2.076224e-01	0	0	1.768146e+01	5.024172e+01	GADD45B
GO_Biological_Process_2021	regulation of keratinocyte proliferation (GO:0010837)	1/24	5.833855e-02	2.076224e-01	0	0	1.768146e+01	5.024172e+01	ZFP36L1
GO_Biological_Process_2021	positive regulation of transforming growth factor beta receptor signaling pathway (GO:0030511)	1/24	5.833855e-02	2.076224e-01	0	0	1.768146e+01	5.024172e+01	RNF111
GO_Biological_Process_2021	protein kinase B signaling (GO:0043491)	1/24	5.833855e-02	2.076224e-01	0	0	1.768146e+01	5.024172e+01	ZFP36L1
GO_Biological_Process_2021	regulation of epidermal cell differentiation (GO:0045604)	1/25	6.069553e-02	2.076224e-01	0	0	1.694388e+01	4.747480e+01	ZFP36L1
GO_Biological_Process_2021	global genome nucleotide-excision repair (GO:0070911)	1/26	6.304672e-02	2.076224e-01	0	0	1.626531e+01	4.495534e+01	RNF111
GO_Biological_Process_2021	negative regulation of macroautophagy (GO:0016242)	1/26	6.304672e-02	2.076224e-01	0	0	1.626531e+01	4.495534e+01	SCFD1
GO_Biological_Process_2021	regulation of glycogen biosynthetic process (GO:0005979)	1/26	6.304672e-02	2.076224e-01	0	0	1.626531e+01	4.495534e+01	PPP1R3C
GO_Biological_Process_2021	acute inflammatory response (GO:0002526)	1/27	6.539215e-02	2.076224e-01	0	0	1.563893e+01	4.265289e+01	HP
GO_Biological_Process_2021	negative regulation of catalytic activity (GO:0043086)	1/27	6.539215e-02	2.076224e-01	0	0	1.563893e+01	4.265289e+01	HP
GO_Biological_Process_2021	negative regulation of cation channel activity (GO:2001258)	1/27	6.539215e-02	2.076224e-01	0	0	1.563893e+01	4.265289e+01	CRHR1
GO_Biological_Process_2021	response to glucocorticoid (GO:0051384)	1/27	6.539215e-02	2.076224e-01	0	0	1.563893e+01	4.265289e+01	ZFP36L1
GO_Biological_Process_2021	camera-type eye development (GO:0043010)	1/27	6.539215e-02	2.076224e-01	0	0	1.563893e+01	4.265289e+01	FBN2
GO_Biological_Process_2021	cellular response to cadmium ion (GO:0071276)	1/27	6.539215e-02	2.076224e-01	0	0	1.563893e+01	4.265289e+01	MT1F
GO_Biological_Process_2021	microtubule polymerization or depolymerization (GO:0031109)	1/27	6.539215e-02	2.076224e-01	0	0	1.563893e+01	4.265289e+01	STMN4
GO_Biological_Process_2021	peptide hormone secretion (GO:0030072)	1/27	6.539215e-02	2.076224e-01	0	0	1.563893e+01	4.265289e+01	CRHR1
GO_Biological_Process_2021	protein export from nucleus (GO:0006611)	1/27	6.539215e-02	2.076224e-01	0	0	1.563893e+01	4.265289e+01	STRADA
GO_Biological_Process_2021	regulation of protein transport (GO:0051223)	1/28	6.773183e-02	2.076224e-01	0	0	1.505896e+01	4.054171e+01	SCFD1
GO_Biological_Process_2021	negative regulation of calcium ion transmembrane transporter activity (GO:1901020)	1/28	6.773183e-02	2.076224e-01	0	0	1.505896e+01	4.054171e+01	CRHR1
GO_Biological_Process_2021	receptor clustering (GO:0043113)	1/28	6.773183e-02	2.076224e-01	0	0	1.505896e+01	4.054171e+01	ITGA4
GO_Biological_Process_2021	regulation of B cell activation (GO:0050864)	1/28	6.773183e-02	2.076224e-01	0	0	1.505896e+01	4.054171e+01	ZFP36L1
GO_Biological_Process_2021	regulation of calcium-mediated signaling (GO:0050848)	1/28	6.773183e-02	2.076224e-01	0	0	1.505896e+01	4.054171e+01	TMBIM4
GO_Biological_Process_2021	glycogen metabolic process (GO:0005977)	1/28	6.773183e-02	2.076224e-01	0	0	1.505896e+01	4.054171e+01	PPP1R3C
GO_Biological_Process_2021	response to interferon-beta (GO:0035456)	1/28	6.773183e-02	2.076224e-01	0	0	1.505896e+01	4.054171e+01	IFITM2
GO_Biological_Process_2021	cellular response to epidermal growth factor stimulus (GO:0071364)	1/28	6.773183e-02	2.076224e-01	0	0	1.505896e+01	4.054171e+01	ZFP36L1
GO_Biological_Process_2021	leukocyte cell-cell adhesion (GO:0007159)	1/28	6.773183e-02	2.076224e-01	0	0	1.505896e+01	4.054171e+01	ITGA4
GO_Biological_Process_2021	cellular zinc ion homeostasis (GO:0006882)	1/28	6.773183e-02	2.076224e-01	0	0	1.505896e+01	4.054171e+01	MT1F
GO_Biological_Process_2021	regulation of microtubule polymerization or depolymerization (GO:0031110)	1/28	6.773183e-02	2.076224e-01	0	0	1.505896e+01	4.054171e+01	STMN4
GO_Biological_Process_2021	protein depolymerization (GO:0051261)	1/28	6.773183e-02	2.076224e-01	0	0	1.505896e+01	4.054171e+01	STMN4
GO_Biological_Process_2021	nuclear-transcribed mRNA catabolic process (GO:0000956)	2/171	6.818108e-02	2.076424e-01	0	0	4.876972e+00	1.309754e+01	RPS4Y1;ZFP36L1
GO_Biological_Process_2021	response to cadmium ion (GO:0046686)	1/29	7.006576e-02	2.079800e-01	0	0	1.452041e+01	3.859991e+01	MT1F
GO_Biological_Process_2021	response to zinc ion (GO:0010043)	1/29	7.006576e-02	2.079800e-01	0	0	1.452041e+01	3.859991e+01	MT1F
GO_Biological_Process_2021	negative regulation of wound healing (GO:0061045)	1/29	7.006576e-02	2.079800e-01	0	0	1.452041e+01	3.859991e+01	CRK
GO_Biological_Process_2021	protein ADP-ribosylation (GO:0006471)	1/29	7.006576e-02	2.079800e-01	0	0	1.452041e+01	3.859991e+01	TIPARP
GO_Biological_Process_2021	heterotypic cell-cell adhesion (GO:0034113)	1/30	7.239397e-02	2.108868e-01	0	0	1.401900e+01	3.680874e+01	ITGA4
GO_Biological_Process_2021	cell projection organization (GO:0030030)	1/30	7.239397e-02	2.108868e-01	0	0	1.401900e+01	3.680874e+01	RHOU
GO_Biological_Process_2021	zinc ion homeostasis (GO:0055069)	1/30	7.239397e-02	2.108868e-01	0	0	1.401900e+01	3.680874e+01	MT1F
GO_Biological_Process_2021	cellular response to cAMP (GO:0071320)	1/31	7.471646e-02	2.136709e-01	0	0	1.355102e+01	3.515209e+01	ZFP36L1
GO_Biological_Process_2021	positive regulation of protein targeting to mitochondrion (GO:1903955)	1/31	7.471646e-02	2.136709e-01	0	0	1.355102e+01	3.515209e+01	RHOU
GO_Biological_Process_2021	protein acetylation (GO:0006473)	1/31	7.471646e-02	2.136709e-01	0	0	1.355102e+01	3.515209e+01	NAA35
GO_Biological_Process_2021	regulation of chemotaxis (GO:0050920)	1/32	7.703326e-02	2.163389e-01	0	0	1.311323e+01	3.361601e+01	CXCR4
GO_Biological_Process_2021	cardiac muscle tissue morphogenesis (GO:0055008)	1/32	7.703326e-02	2.163389e-01	0	0	1.311323e+01	3.361601e+01	ACTC1
