Source_Node,Target_Node,Weight,Direction_Confidence
RPS9,COX4I1,0.0213183853775262,0.9652569256279288
SDF4,WDR81,0.0213177762925624,0.9981472371310208
CH507-42P11.8,BHLHE40,0.0213128328323364,0.0661969857767656
DUSP1,BHLHE40,0.02130470238626,0.2018418074925136
BNIP3L,C4orf47,0.021299572661519,0.4141412629797353
ALG10B,ETNK1,0.0212608706206083,0.8204228149076283
TMEM239,RP5-860F19.8,0.0212436728179454,0.073496681461759
C1QB,CSF1R,0.0212265439331531,0.459005256494898
HBEGF,TGIF1,0.0212183985859155,0.1601382750667117
AKT1,LSS,0.0211794544011354,0.9986655466304618
BMPR2,KLF12,0.0211660265922546,0.4975661833188166
KDM5D,USP9X,0.0211410727351903,0.2737503514646512
PLOD2,ERN1,0.0211247261613607,0.4531947521851779
HSPA1B,HSPA6,0.0211244374513626,0.4242339626863053
CEND1,VSTM2L,0.0211173724383115,0.9244098768810038
CEP350,USF3,0.021107206121087,0.4365152543264267
BNIP3,STC2,0.0210813712328672,0.3362475116390319
SLC17A6,NEFL,0.021078772842884,0.328809163371242
CYHR1,MXD4,0.0210648719221353,0.8583762182264034
NDUFA3,NAA38,0.0210292413830757,0.55653611611918
ATF3,DUSP1,0.0210247375071048,0.6027885152076801
BNIP3,RNF24,0.020996056497097,0.0720395902954566
MAGED4,MAGED4B,0.0209897849708795,0.0662333093002218
TAF6,EIF3G,0.020963491871953,0.851139135786333
FOSB,IER2,0.0208782982081174,0.0878581005216157
KLHL21,ARC,0.0208699852228164,0.7554652294508113
RASD1,JUN,0.0208644662052392,0.3118739198361835
OBSL1,SORCS2,0.0208483897149562,0.7661870577416549
BDP1,AKAP9,0.0208033435046672,0.6933145295816308
RASGRP1,IL1R1,0.0208018403500318,0.3141330334047711
PTOV1,TAF6,0.0208015218377113,0.897692597923247
FABP5,PDPN,0.0207543391734361,0.294951561631418
LARP4,APPBP2,0.0207316763699054,0.8044301841805929
SBF1,PDDC1,0.0207206960767507,0.962170927472605
GIT1,SYNGR1,0.0207080785185098,0.4382459078077614
MT1F,MT1E,0.0207041874527931,0.2913597615962439
DCST2,CHRNE,0.0206974502652883,0.2414359301316076
ATF3,NR4A1,0.0206711962819099,0.3826243541847736
FERMT2,SGTB,0.0206696055829525,0.8501348309129672
ADM,GPRC5A,0.0206672437489032,0.8065984980103298
PIM1,GPR3,0.020667215809226,0.5073854657077366
JUND,CSRNP1,0.0206519309431314,0.1598645812447997
SLC32A1,CHRNA2,0.0206306185573339,0.4073503253872487
PLCH2,EML2,0.0205893442034721,0.963189560214128
PPARD,GSK3A,0.0205729752779006,0.3846725033228897
B3GAT3,ATG9A,0.0205679442733526,0.9619779690323956
ZNF358,AXIN1,0.0205646120011806,0.9725797158147336
IL1R1,AKAP12,0.0205447655171155,0.3021131103909752
SEZ6L2,PPP6R2,0.0204984825104475,0.921532410075553
ATP11B,WWP1,0.0204880889505147,0.611278213128489
EGR2,LIF,0.020485870540142,0.2906396434483028
RPL35,EEF1G,0.02047935500741,0.9388422286452238
STK11,RAB3A,0.0204709451645612,0.4900505925677388
SYNCRIP,KATNAL1,0.0204658564180135,0.5550866166183632
POU4F1,NPR3,0.0204510800540447,0.1963746315682083
OMG,ANGPTL1,0.0204413440078496,0.1714045213559694
C1QA,C1QB,0.0204392187297344,0.2200906493491632
B3GAT2,ADGRG4,0.0204335693269968,0.1784830112517501
DDR1,ACTN4,0.0204188078641891,0.7207642916269725
ICAM1,CD44,0.0204174425452947,0.6268298305163542
LAMB2,PDGFRB,0.0203797519207,0.9140762368469691
ICAM1,SERPINA3,0.020379539579153,0.2806921545361148
RC3H2,C2orf49,0.0203740838915109,0.814646647209199
KCNC2,SYT2,0.0203422363847494,0.1355155575264695
PTGS1,SERPINA5,0.0203335881233215,0.2433166889709093
C4B,C4A,0.0203307420015335,0.4113033800040893
DENND6B,PSD,0.0203294530510902,0.7951757463650242
SV2C,NRN1,0.0203188117593526,0.1707846770960022
NR2E1,LITAF,0.02031703107059,0.3581808836722445
PFKFB4,PFKFB3,0.0203028284013271,0.5203147121576056
CH507-9B2.5,C21orf33,0.020296387374401,0.025717538391723
NEFL,NEFH,0.0202859323471784,0.1892322709472985
HSPA6,DNAJB1,0.020281970500946,0.1221551545799651
PNPLA6,CPSF3L,0.0202818214893341,0.9475521976370316
PUF60,ATP13A1,0.0202773455530405,0.9828065741654916
MAFF,ZFP36L1,0.0202771630138158,0.4983703090209558
ARHGEF18,CTD-2207O23.3,0.0202600639313459,0.3414737819291336
FMR1,WASL,0.0202579423785209,0.4947071902013598
FOSB,EGR3,0.0202333498746156,0.1453801947412555
RABL6,ARHGAP39,0.0202253647148609,0.9756308357791011
SMARCA4,RPTOR,0.0202245991677045,0.9050407999175568
DHX34,SPHK2,0.0201731938868761,0.7087352125571533
EGR3,ZFP36,0.0201674606651067,0.5250534441879585
TMEM184B,LRP1,0.0201642084866762,0.97870567644682
UBAP1L,SMIM24,0.0201560668647289,0.0234668411467737
CTB-50L17.10,SCAP,0.0201481524854898,0.8644259553755914
TMEM201,TELO2,0.0201281271874904,0.7508866950304881
RPL7A,RPS3,0.0201125144958496,0.5878085840175464
FOSL2,HBEGF,0.020111296325922,0.6081104563754051
RAB11B,C1QL1,0.0200995113700628,0.9833712584389064
AK4,FUT11,0.0200717970728874,0.1217240131213131
ZYX,FLNA,0.0200652200728654,0.721264591649478
